ResponseID,Interface,Webcam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click 2,Timing-Last Click 2,"Timing-#QuestionText, TimingPageSubmit# 2","Timing-#QuestionText, TimingClickCount# 2",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocationCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click 3,Timing-Last Click 3,"Timing-#QuestionText, TimingPageSubmit# 3","Timing-#QuestionText, TimingClickCount# 3",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click 4,Timing-Last Click 4,"Timing-#QuestionText, TimingPageSubmit# 4","Timing-#QuestionText, TimingClickCount# 4",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click 5,Timing-Last Click 5,"Timing-#QuestionText, TimingPageSubmit# 5","Timing-#QuestionText, TimingClickCount# 5",looking at a document for another project.,reading a work-related email from another co-worker.,chatting with another co-worker.,AvgWork,browsing Facebook.,chatting with a friend.,reading a personal email.,AvgPersonal,focusing on the document person A is talking about.,searching for other locations for the advertising campaign.,AvgMeeting,listening to person A.,MostLikelyActivity,Timing-First Click 6,Timing-Last Click 6,"Timing-#QuestionText, TimingPageSubmit# 6","Timing-#QuestionText, TimingClickCount# 6",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click 7,Timing-Last Click 7,"Timing-#QuestionText, TimingPageSubmit# 7","Timing-#QuestionText, TimingClickCount# 7",Gender,What is your age?,VCExperience,LocationLatitude,LocationLongitude,RepeatAnswer,TotalTimer,Mahal. Distance,MeetingNotMeeting,MultitaskenNotMultitasken
R_1mjW19Npl6u8hFq,sidebyside,switch,162.243.209.202,09/08/2015 4:19 PM,09/08/2015 4:26 PM,4428happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,74.986,0,8.721,73.984,91.033,7,1,0,0,-1,1,0,1,the person was instructing the other person,this person heard the instructions,2.254,32.44,33.073,8,2,2,4,4,4,2,6.108,12.833,14.141,3,2,2,2,8.985,29.617,30.182,10,4,4,4,4,4,4,4,4,2,2,2,2,Meeting/Work,19.48,82.556,83.48,3,"very obvious, the transition is perceived quickly , the environment where the person B completely changes",2,6.015,14.926,15.55,5,1,2,1,40.7142944,-74.005997,NotRepeat,81.805,notoutlier,NotMeeting,Multitasken
R_2bNaa6iq44CnW99,sidebyside,switch,69.115.221.153,09/08/2015 4:30 PM,09/08/2015 4:34 PM,3255happy,Chrome,44.0.2403.156,CrOS armv7l 7077.134.0,1366x768,"Mozilla/5.0 (X11; CrOS armv7l 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36",0,0,64.406,0,4.513,29.019,44.247,4,1,-1,1,0,0,0,1,Person A was just talking about where to build stuff.,Person B kept changing cameras.,3.694,20.183,21.096,8,1,1,4,2,4,1,7.47,10.11,11.811,3,2,2,2,10.556,27.083,28.223,10,4,3,3,3.33333333,5,3,5,4.33333333,2,3,2.5,2,Meeting/Work,6.43,14.686,15.604,2,It was very obvious,2,1.245,8.178,12.704,3,2,2,4,40.8769074,-74.143303,NotRepeat,65.023,notoutlier,NotMeeting,Multitasken
R_1mKiZLLguRZdZBl,sidebyside,switch,104.12.74.196,09/08/2015 4:40 PM,09/08/2015 4:45 PM,9959happy,Chrome,45.0.2454.84,Android 4.3,360x640,"Mozilla/5.0 (Linux; Android 4.3; Z777 Build/JLS36C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Mobile Safari/537.36",0,0,83.221,0,4.903,35.529,50.324,5,1,0,1,0,1,0,3,She was talking and having a hard time keeping eye contact,Listening and noding but eyes were wondering.,4.179,27.749,28.991,6,3,2,4,4,3,2,8.839,19.789,21.026,3,5,2,4,7.467,30.518,32.02,9,4,5,4,4.33333333,5,4,5,4.66666667,1,1,1,1,Meeting/Work,7.894,43.658,46.651,2,It was very likely. She was not actually engaging. She seemed preoccupied.,2,1.254,5.625,7.266,3,2,3,2,35.3798065,-97.759804,NotRepeat,71.277,notoutlier,NotMeeting,Multitasken
R_21j3IquBfxeLiBK,sidebyside,switch,192.34.174.34,09/08/2015 4:44 PM,09/08/2015 4:48 PM,6370happy,Chrome,45.0.2454.85,Macintosh,1920x1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",21.97,21.97,68.015,1,4.855,91.757,93.604,8,1,0,1,0,1,0,3,Person A was very hard to hear but from what I could understand they were showing person B locations for the marketing campaign.,Person B was listening to person A talk about locations for the marketing campaign and checked their email on a second monitor.,2.973,14.108,15.193,6,4,4,4,3,4,4,4.822,9.118,10.911,3,4,4,5,12.021,32.468,32.832,13,2,2,1,1.66666667,1,1,2,1.33333333,5,3,4,4,Meeting,4.293,36.235,37.274,2,It was very obvious as the angle of the camera shifted. I assumed she was viewing a second monitor.,1,0.832,4.865,6.473,3,1,2,2,34.322403,-82.886398,NotRepeat,57.498,notoutlier,Meeting,Multitasken
R_6YkcFy2sGM4s6yx,sidebyside,switch,209.58.128.139,09/08/2015 4:24 PM,09/08/2015 4:54 PM,1054happy,Chrome,44.0.2403.157,Windows NT 6.1,1024x600,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",0,0,65.791,0,558.808,813.037,817.664,6,1,0,1,0,1,0,3,"Person A , it is assigning a task to person B",Person B is listening to person A,4.127,40.716,41.579,8,4,5,4,4,5,4,60.656,93.81,94.289,5,3,3,5,8.169,49.766,53.549,10,2,2,1,1.66666667,2,2,2,2,5,4,4.5,5,Meeting,5.691,219.414,220.973,5,It was pretty obvious,2,1.233,13.167,15.219,3,1,2,4,38.7931976,-77.536598,NotRepeat,115.347,notoutlier,Meeting,Multitasken
R_2zdSNQ0ewZKtBYK,sidebyside,switch,66.171.228.78,09/08/2015 4:56 PM,09/08/2015 5:07 PM,3101happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x1024,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,99.773,0,42.945,84.341,139.613,4,1,-1,0,0,1,0,1,"locations, picture,",say yes the question in the marketing campaing,24.259,45.705,46.681,5,4,4,4,3,4,4,21.037,32.089,33.052,3,3,4,3,13.453,38.933,40.309,9,3,3,4,3.33333333,4,4,4,4,4,3,3.5,4,Meeting,21.309,31.065,66.438,3,she look the second monitor in the conversation,2,8.488,22.673,25.518,3,1,2,2,33.8403015,-118.3539,NotRepeat,115.508,notoutlier,Meeting,Multitasken
R_214xgT6Y6khsE0s,sidebyside,switch,38.95.108.244,09/08/2015 5:06 PM,09/08/2015 5:11 PM,5568happy,Chrome,45.0.2454.85,Windows NT 10.0,2560x1080,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",50.73,62.706,74.4,3,4.753,43.874,44.584,8,1,0,1,0,1,0,3,least expensive,"mhhm, yes",6.775,29.205,30.061,6,4,4,2,1,5,4,17.82,30.332,31.04,3,3,3,4,5.239,32.948,33.975,12,4,2,2,2.66666667,3,3,4,3.33333333,4,2,3,5,Meeting,8.9,32.932,36.025,2,It was vey obvious and the mic quality was alot better,1,1.434,6.649,7.527,4,1,2,4,34.0522003,-118.2437,NotRepeat,74.563,notoutlier,Meeting,Multitasken
R_28zwJqgTKLBkEgN,sidebyside,switch,68.57.118.32,09/08/2015 5:07 PM,09/08/2015 5:13 PM,3603happy,Chrome,45.0.2454.85,Windows NT 5.1,1280x1024,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,66.659,0,5.314,43.494,71.25,6,1,0,1,0,1,0,3,Person A was looking into the camera.,Person B was looking at other things. They also were turning,8.369,33.623,38.784,7,2,3,4,5,5,1,17.486,29.504,31.079,4,1,1,4,11.717,43.03,45.162,9,4,3,1,2.66666667,3,1,3,2.33333333,2,4,3,2,Meeting,10.093,50.998,54.982,2,It was very obvious. You could see the turn in the camera,1,1.84,7.941,10.863,3,2,4,1,36.3134003,-82.3535,NotRepeat,98.809,notoutlier,Meeting,Multitasken
R_273QV3Fn6ppRCef,sidebyside,switch,108.14.176.16,09/08/2015 5:10 PM,09/08/2015 5:14 PM,9150happy,Firefox,40,Windows NT 6.3,1600x900,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,30.34,34.533,79.887,2,2.03,22.211,31.47,8,1,0,1,0,1,0,3,offering a proposal,considering ideas,2.606,11.581,12.216,6,4,4,2,2,4,3,4.595,6.882,7.396,3,3,3,3,11.021,23.103,24.937,11,3,2,2,2.33333333,2,2,2,2,3,2,2.5,4,Meeting,4.717,5.765,15.859,2,Very.,1,0.865,3.889,4.714,3,2,2,1,40.7353973,-73.878304,NotRepeat,44.867,notoutlier,Meeting,Multitasken
R_1mUh0fI2mZP54bo,sidebyside,switch,98.30.171.237,09/08/2015 5:21 PM,09/08/2015 5:26 PM,3225happy,Chrome,45.0.2454.85,Windows NT 6.0,1680x1050,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,73.786,0,5.621,29.77,59.337,8,1,0,1,0,1,0,3,Made eye contact the whole time. Trying to explain the options available for the ad.,"Seemed distracted, not sure what she was switching cameras for.",5.548,17.681,18.731,6,2,2,5,4,5,2,8.667,17.352,18.102,4,1,2,1,8.643,31.278,32.194,10,3,2,2,2.33333333,4,2,4,3.33333333,2,2,2,2,Meeting/Work,11.08,28.631,32.776,2,"very abrupt changes, very obvious",2,10.165,16.148,17.707,3,1,4,3,41.4615021,-84.553101,NotRepeat,72.632,notoutlier,NotMeeting,Multitasken
