ResponseID,Interface,Webam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocationCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",searching for other locations for the advertising campaign.,reading a personal email.,browsing Facebook.,AvgWork,listening to person A.,reading a work-related email from another co-worker.,chatting with another co-worker.,AvgPersonal,chatting with a friend.,focusing on the document person A is talking about.,AvgMeeting,looking at a document for another project.,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Gender,What is your age?,VCExperience,LocationLatitude,LocationLongitude
R_2TyD5ZT2ajM3V8N,bigsmall,switch,206.190.129.237,9/14/2015 16:39,9/14/2015 16:45,6096happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x800,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",49.531,101.761,103.128,2,3.248,7.628,60.459,4,1,,1,,1,,,Asking questions to person B about some ads placement locations,Listening and answering to person A,4.09,15.404,21.957,6,5,5,3,5,4,5,33.203,39.417,40.57,3,4,5,5,4.176,23.91,24.801,11,4,4,1,,5,5,1,,1,1,,1,23.58,25.962,35.038,3,"Yes, very obvious",3,2.172,13.845,16.13,3,1,3,2,41.69290161,-111.8146973
R_2zwLWgxtb1t2KXH,bigsmall,switch,206.190.129.237,9/14/2015 16:47,9/14/2015 16:58,1499happy,Firefox,40,Windows NT 6.1,1067x667,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,251.104,251.104,253.378,1,2.419,23.361,38.329,7,1,,1,,1,,,Asking question about ad placements,Trying to listen to person A,2.313,13.075,13.853,8,4,4,3,3,5,5,3.426,6.381,7.499,3,4,4,4,2.821,27.326,29.2,10,4,5,1,,5,2,2,,1,5,,2,0.466,16.234,17.422,3,Very obvious,2,1.436,5.128,7.029,3,1,3,2,41.69290161,-111.8146973
R_1OSPN8iPkz0Ch6H,bigsmall,switch,206.190.129.237,9/14/2015 16:46,9/14/2015 16:58,2649happy,Chrome,44.0.2403.155,Windows NT 6.1,1280x800,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36 OPR/31.0.1889.174",0,0,109.313,0,3.171,6.677,48.817,4,1,1,,,1,,,She was asking some questions about some places to where to place the company ads,Listening to person A,2.404,15.305,16.349,6,4,4,3,3,4,5,7.18,11.024,12.043,3,4,5,4,3.38,19.147,20.282,9,4,3,2,,5,4,2,,1,4,,5,1.226,8.05,9.299,3,Obvious,3,1.58,5.597,7.426,3,1,3,2,41.69290161,-111.8146973
R_3p4lsvobA3ruhJA,bigsmall,switch,65.60.7.227,9/14/2015 16:59,9/14/2015 17:27,7933happy,Firefox,40,Windows NT 6.1,1024x768,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,19.779,669.141,938.406,4,149.434,245.017,301.533,9,1,,1,,1,,,just talking about the locations,"listening to person A, at the middle of the convesation, she changed her view ",5.055,27.195,48.908,6,5,5,4,4,5,5,12.782,28.606,29.55,3,3,4,4,3.521,29.083,29.813,11,3,3,1,,4,5,1,,1,5,,1,22.195,181.638,182.846,11,it was ubviously that there were two webcams because I saw her from 2 locations.,1,1.61,8.881,12.162,4,1,3,2,41.88259888,-87.6292038
R_2RVcUzcY5oIwqUB,bigsmall,switch,173.44.55.73,9/14/2015 17:25,9/14/2015 17:30,5924happy,Chrome,45.0.2454.85,Windows NT 6.1,1920x1080,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,87.078,0,22.732,51.131,53.674,7,1,,1,1,,,,Serious,Serious,1.646,4.222,4.731,6,4,3,3,3,4,3,0.976,1.961,2.418,3,2,3,3,26.188,31.134,31.672,10,3,3,2,,3,4,4,,3,3,,3,2.732,2.732,3.83,1,Not too obvious,4,1.637,7.255,8.238,3,1,3,4,25.85879517,-80.3839035
R_2qjFchWKy1rklqd,bigsmall,switch,199.58.86.213,9/14/2015 17:39,9/14/2015 17:45,3348happy,Firefox,40,Windows NT 6.1,1024x600,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,10.874,112.506,113.407,6,34.751,56.112,78.472,9,,1,,1,,1,,"happy, upset","excited, happy",7.564,13.193,14.214,7,4,4,4,3,3,4,4.232,6.476,7.692,4,4,4,4,2.305,12.686,13.671,18,4,4,4,,4,5,4,,4,3,,4,5.01,14.032,14.917,3,notice,4,7.882,21.65,22.535,9,1,2,5,39.71569824,-75.52809906
R_VQK2ipDjHBTEnp7,bigsmall,switch,67.184.94.23,9/14/2015 17:46,9/14/2015 17:52,3316happy,Safari iPad,8,iPad,768x1024,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",0,0,75.227,0,5.421,36.052,55.599,5,1,,1,,1,,,"Looking straight ahead, making noises of agreement",Providing 3 options and explaining their cost,5.126,46.321,47.551,12,3,3,4,4,4,3,8.504,18.334,19.158,3,2,2,3,6.044,26.379,27.005,11,2,4,4,,4,4,1,,1,3,,4,13.551,34.79,35.665,2,I noticed the change but it was not problematic,2,1.734,6.569,8.656,3,2,4,1,41.97340393,-88.20649719
R_2zhy2UKppM7FN1P,bigsmall,switch,173.245.65.26,9/14/2015 17:54,9/14/2015 17:58,6702happy,Chrome,45.0.2454.85,Windows NT 6.1,1440x900,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",60.573,60.573,74.211,1,6.885,37.587,38.168,7,,1,1,,,1,,He cared,nice,2.068,5.45,11.564,7,4,3,4,3,3,4,2.848,4.566,7.414,3,4,3,4,2.071,12.248,13.211,10,4,3,3,,4,5,5,,4,4,,3,14.21,22.824,23.687,3,no,5,1.332,12.893,14.523,4,1,3,4,25.72669983,-80.2358017
R_86a4RVGud6z9heN,bigsmall,switch,184.56.204.181,9/14/2015 17:48,9/14/2015 17:59,9892happy,Chrome,45.0.2454.86,CrOS armv7l 7262.52.0,1366x768,"Mozilla/5.0 (X11; CrOS armv7l 7262.52.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.86 Safari/537.36",0,0,150.054,0,5.983,86.517,95.954,6,1,,1,,1,,,Responding and talking to person B,Responding and talking to person A,6.199,40.407,41.446,7,5,5,5,4,5,5,8.429,23.873,25.167,3,5,5,5,9.749,31.749,33.09,9,5,2,2,,5,2,2,,2,5,,2,40.27,122.304,123.663,5,It was not very obvious that person A and person B recorded with different webcams,2,1.449,11.031,13.181,3,2,4,2,41.04170227,-81.55930328
R_1CI8QzHXbOHt1kv,bigsmall,switch,54.171.75.163,9/14/2015 17:39,9/14/2015 18:06,1542happy,Firefox,40,Windows NT 5.1,1366x664,Mozilla/5.0 (Windows NT 5.1; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,101.098,0,3.295,116.967,121.529,19,1,,1,,1,,,She was describing three places that they could show their ads. Potential Places for them,She was listening to person A and checking the information,4.402,35.998,40.445,7,4,4,1,1,4,4,6.126,52.173,56.805,5,5,5,4,6.245,100.189,104.075,13,2,2,2,,4,2,2,,2,4,,2,11.575,191.35,195.117,19,It was completely obivious that there was two different webcams,1,2.866,10.905,12.498,3,1,2,2,53.33309937,-6.248901367
