ResponseID,Interface,Webcam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocaitonCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",searching for other locations for the advertising campaign.,reading a personal email.,browsing Facebook.,listening to person A.,reading a work-related email from another co-worker.,chatting with another co-worker.,chatting with a friend.,focusing on the document person A is talking about.,looking at a document for another project.,AvgWork,AvgPersonal,AvgMeetin,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#","When person B switched to her second monitor, another webcam was used to record person B.",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Gender,What is your age?,"How often do you use video conferencing tools? For example, Skype, FaceTime, Google Hangouts etc.","This is the end of the survey, thank you for your participation.   Your unique code is: ...",LocationLatitude,LocationLongitude
R_1E9ShrjEnWOaMgl,sidebyside,switch,23.235.227.109,9/8/2015 16:13,9/8/2015 16:19,4958happy,Firefox,37,Windows NT 6.1,1024x768,Mozilla/5.0 (Windows NT 6.1; rv:37.0) Gecko/20100101 Firefox/37.0,10.98,98.538,99.455,5,23.888,37.007,37.495,6,1,,,1,1,1,,hello,yes,12.263,25.918,26.622,7,3,4,4,3,4,5,4.459,6.682,7.482,4,4,5,5,1.902,36.173,36.989,15,4,5,4,3,3,4,3,4,5,,,,29.215,54.23,54.928,4,1,5,1,4.067,23.794,24.411,7,1,3,1,1,33.43569946,-111.917099
R_TgTbt8ngEG6vhMR,sidebyside,switch,205.232.28.240,9/8/2015 16:16,9/8/2015 16:21,5389happy,Firefox,40,Windows NT 6.3,1600x900,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,69.19,0,5.085,42.549,46.149,8,1,,1,,1,,,Disscusing possible locations for marketing,Listening and agreeing to suggestions ,6.401,31.346,37.968,8,3,3,4,4,5,2,13.053,20.157,21.328,3,3,2,3,7.183,28.388,29.425,9,3,4,4,3,4,1,1,3,3,,,,7.988,23.996,24.983,2,1,Very obvious due to the switch,2,1.451,6.739,8.673,3,1,3,2,1,43.15480042,-75.14260101
R_7NEk1tfn6QGFVap,sidebyside,switch,142.0.68.66,9/8/2015 16:17,9/8/2015 16:21,5862happy,Chrome,45.0.2454.85,Windows NT 6.1,1360x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",5.755,64.786,65.285,4,3.307,35.14,52.28,5,1,,1,,1,,,a billboard are very infactive,a billboard  are important,2.348,8.508,9.264,6,3,2,5,2,3,3,1.013,1.699,2.562,3,2,4,2,1.326,14.342,15.349,13,2,3,3,4,2,2,3,3,2,,,,7.198,14.72,15.66,2,1,i don't know now,3,0.87,8.757,9.323,6,1,2,3,1,25.83380127,-80.30169678
R_25XAOHZynDmrzjA,sidebyside,switch,54.171.75.163,9/8/2015 16:12,9/8/2015 16:22,1267happy,Chrome,45.0.2454.85,Windows NT 6.2,1366x768,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",8.353,106.022,109.102,4,7.795,125.001,125.749,8,1,1,,,1,,,giving instruction to person B about marketing,person B Give opnions about person A instruction  ,12.47,56.409,57.479,6,4,3,3,2,4,2,15.258,32.209,33.796,3,4,4,2,0.951,43.256,43.942,11,4,4,2,4,4,1,1,2,2,,,,11.588,112.533,113.513,11,1,yes it obvious when she turn to computer,1,2.524,15.394,19.982,6,1,2,2,1,53.33309937,-6.248901367
R_1P7YOs5Kpiuq8jy,sidebyside,switch,205.232.28.240,9/8/2015 16:21,9/8/2015 16:24,7850happy,Firefox,40,Windows NT 6.3,1600x900,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,62.473,0,1.897,5.346,32.833,4,1,,1,,1,,,Describing potential marketing locations,Agreeing to suggestions but likely multitasking,2.763,10.115,10.897,7,3,3,4,4,5,2,3.766,8.165,9.112,3,3,3,3,5.113,16.968,18.341,9,3,4,4,3,4,2,2,3,3,,,,4.803,10.436,11.188,2,1,very obvious,2,0.875,4.419,6.05,3,1,3,2,1,43.15480042,-75.14260101
R_2D5gZwCDyiwMeTq,sidebyside,switch,72.16.166.233,9/8/2015 16:19,9/8/2015 16:25,5377happy,Firefox,40,Windows NT 6.1,1280x1024,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,87.415,0,2.606,42.47,48.825,6,1,,1,,1,,,She was asking the other lady about the potential sites for advertising,She was just nodding and saying yes to the suggestions made by person A,7.788,27.924,28.567,6,4,3,4,3,5,2,9.293,18.197,18.725,6,1,2,2,5.434,31.339,31.987,13,2,4,4,1,4,1,1,1,3,,,,9.653,42.364,43.413,2,1,Very obvious as the view changed. It changed from forward facing to diagonally facing.,1,1.062,6.444,7.664,3,1,4,2,1,42.01060486,-87.66860199
R_1mjW19Npl6u8hFq,sidebyside,switch,162.243.209.202,9/8/2015 16:19,9/8/2015 16:26,4428happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,74.986,0,8.721,73.984,91.033,7,1,,,1,1,,,the person was instructing the other person,this person heard the instructions,2.254,32.44,33.073,8,2,2,4,4,4,2,6.108,12.833,14.141,3,2,2,2,8.985,29.617,30.182,10,2,4,4,2,4,4,4,2,4,,,,19.48,82.556,83.48,3,1,"very obvious, the transition is perceived quickly , the environment where the person B completely changes",2,6.015,14.926,15.55,5,1,2,1,1,40.71429443,-74.0059967
R_3OlGP5TNzCFX7SW,sidebyside,switch,208.31.49.59,9/8/2015 16:24,9/8/2015 16:30,4658happy,Chrome,45.0.2454.85,Windows NT 6.2,1366x768,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,14.026,0,27.697,87.039,122.144,13,1,,1,,1,,,giving instruction to person B about marketing,folowing person A insruction,5.921,23.416,23.769,7,3,4,4,3,2,4,5.304,20.162,21.585,4,4,4,2,0.699,36.226,37.859,10,4,4,2,4,3,2,1,4,3,,,,1.862,27.296,28.529,2,1,yes it obvious in half of video ,1,1.244,6.933,9.034,6,1,2,1,1,40.71110535,-73.94689941
R_eR73A1sBr5H7FXX,sidebyside,switch,66.171.228.70,9/8/2015 16:24,9/8/2015 16:30,5464happy,Chrome,45.0.2454.85,Windows NT 6.1,1024x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",21.189,62.771,63.731,7,8.088,41.896,42.762,6,,1,,1,,1,,talking about a campaing,watching and talking,1.62,19.475,21.156,7,5,5,5,5,1,1,5.341,6.842,9.266,3,5,5,5,20.189,40.154,41.028,13,5,5,5,5,5,5,5,5,5,,,,1.947,32.099,33.493,2,1,not much obvious,3,2.2,12.157,13.332,6,1,3,1,1,33.84030151,-118.3538971
R_1qgj4UsH9JrYQNZ,sidebyside,switch,54.148.44.119,9/8/2015 16:25,9/8/2015 16:32,5269happy,Firefox,40,Windows NT 6.3,1024x768,Mozilla/5.0 (Windows NT 6.3; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,64.525,0,9.955,47.419,49.658,2,,1,,1,,1,,Just Taking With Person B,Taking with Person A,7.988,18.284,21.249,8,4,3,2,3,3,3,2.088,3.144,4.225,3,3,3,3,8.322,24.762,26.016,18,4,4,3,4,5,4,4,5,4,,,,6.375,31.591,32.79,2,1,Not to Telling,4,4.241,13.713,15.116,4,2,2,7,1,45.83990479,-119.7005997
R_2bNaa6iq44CnW99,sidebyside,switch,69.115.221.153,9/8/2015 16:30,9/8/2015 16:34,3255happy,Chrome,44.0.2403.156,CrOS armv7l 7077.134.0,1366x768,"Mozilla/5.0 (X11; CrOS armv7l 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36",0,0,64.406,0,4.513,29.019,44.247,4,1,1,1,,,,,Person A was just talking about where to build stuff.,Person B kept changing cameras. ,3.694,20.183,21.096,8,1,1,4,2,4,1,7.47,10.11,11.811,3,2,2,2,10.556,27.083,28.223,10,3,5,5,2,3,3,3,2,4,,,,6.43,14.686,15.604,2,1,It was very obvious,2,1.245,8.178,12.704,3,2,2,4,1,40.87690735,-74.14330292
R_3KDvlHmjxGjsWRs,sidebyside,switch,69.60.121.29,9/8/2015 16:18,9/8/2015 16:35,2273happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x800,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",5.279,68.121,169.2,2,13.059,155.244,166.341,9,1,,1,,1,,,person A is the manager,person B in an employee,10.149,39.597,40.659,7,3,3,1,4,3,3,12.742,24.045,25.181,3,4,4,4,4.251,244.069,246.177,14,4,3,3,4,4,2,2,4,4,,,,1.94,69.556,306.491,5,1,don't need for this ,2,4.323,19.918,21.907,5,1,3,4,1,25.78289795,-80.13580322
R_3G3ezquGqk5DI2I,sidebyside,switch,184.154.18.222,9/8/2015 16:35,9/8/2015 16:39,8938happy,Chrome,45.0.2454.85,Windows NT 6.1,1920x1080,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,72.66,0,3.457,17.655,23.951,5,,1,1,,,1,,yes,no,2.352,6.337,6.979,5,1,2,3,2,4,5,1.282,4.373,5.133,3,1,3,2,3.556,10.898,11.742,6,1,3,4,2,4,5,3,1,3,,,,6.922,9.196,11.447,2,1,2,2,2.83,11.02,14.928,3,2,3,1,1,41.88250732,-87.64409637
